Compound,Date,Negative,Neutral,Positive,Source Account,Text
0.0,2018-06-24 12:02:03+00:00,0.0,1.0,0.0,@BBC,🐛 Did you know there's a whole world on the back of a sloth?  https://t.co/wRWmXa7j4R
0.8268,2018-06-24 11:04:03+00:00,0.0,0.688,0.312,@BBC,"🥑🥕🌞 These summery vegan dishes are perfect for when it's hot (and still delicious when it's not!) 

👉… https://t.co/n8Nra5f9Jl"
0.2942,2018-06-24 10:52:39+00:00,0.0,0.897,0.103,@BBC,"RT @BBCWorld: ""At last!""

Saudi Arabia becomes the last country in the world to allow women to drive. https://t.co/vfOqNTBk9o https://t.co/…"
0.3612,2018-06-24 10:03:02+00:00,0.0,0.783,0.217,@BBC,"Getting ready for #ENG v #PAN like... ️⚽️🏆💪 @JKCorden #WorldCup 

https://t.co/EbID4RxLuE"
0.6269,2018-06-24 09:33:12+00:00,0.0,0.745,0.255,@BBC,"RT @BBC6Music: Ah, it seems so peaceful @GlastoFest this weekend. (via @bbcsomerset)  https://t.co/JzF0sbDEEh"
0.34,2018-06-24 09:04:05+00:00,0.0,0.882,0.118,@BBC,"Today, England play their first ever match against #WorldCup debutants Panama. 🦁🦁🦁

World Cup 2018: #ENG v #PAN | 1… https://t.co/rZLcc8qfZ8"
0.0,2018-06-24 08:37:50+00:00,0.0,1.0,0.0,@BBC,"RT @BBCWorld: New Zealand's PM reveals her daughter's name as she leaves hospital in Auckland 👶🇳🇿

https://t.co/5E751apfOg https://t.co/Zt7…"
0.0,2018-06-24 08:20:08+00:00,0.0,1.0,0.0,@BBC,"What's happened since #BluePlanet2 first aired and what does Sir David Attenborough think about the response?
👉… https://t.co/Qo4Nu3wQHT"
0.3182,2018-06-24 07:01:05+00:00,0.24,0.413,0.347,@BBC,"⚽️❤️ I. Bloody. Love. Football. 
#WorldCup https://t.co/vrmHGAfFYY"
0.0,2018-06-23 20:12:00+00:00,0.0,1.0,0.0,@BBC,"Over the last 50 years, the flesh-footed shearwater population has dropped by 30%.

Plastic is a major cause of the… https://t.co/KwcWT38E6F"
0.0,2018-06-23 19:02:02+00:00,0.0,1.0,0.0,@BBC,"Live coverage of England's clash with New Zealand in Colorado, USA. 🏉

Rugby League: New Zealand v England | 9pm |… https://t.co/gNfWK4lAsg"
